,Position,Track Name,Artist,Streams,major label
1,1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,8945491,Walt Disney Records
2,2,pushin P (feat. Young Thug),Gunna,6697046,Warner Music Group
3,3,Super Gremlin,Kodak Black,6480616,Warner Music Group
4,4,Heat Waves,Glass Animals,6217836,Universal Music Group
5,5,Surface Pressure,Jessica Darrow,6151208,Walt Disney Records
6,6,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5594798,Sony Music Entertainment
7,7,Eazy,The Game,5391525,Small Label/Independent
8,8,STAY (with Justin Bieber),The Kid LAROI,5308041,Sony Music Entertainment
9,9,abcdefu,GAYLE,4972048,Warner Music Group
10,10,Sacrifice,The Weeknd,4858327,Universal Music Group
11,11,Fingers Crossed,Lauren Spencer-Smith,4345288,Small Label/Independent
12,12,Easy On Me,Adele,4336468,Sony Music Entertainment
13,13,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4283299,Universal Music Group
14,14,P power (feat. Drake),Gunna,4270838,Warner Music Group
15,15,Need to Know,Doja Cat,4202760,Sony Music Entertainment
16,16,Out of Time,The Weeknd,3873266,Universal Music Group
17,17,Knife Talk (with 21 Savage ft. Project Pat),Drake,3870216,Universal Music Group
18,18,I Love You So,The Walters,3821243,Warner Music Group
19,19,The Family Madrigal,Stephanie Beatriz,3812570,Walt Disney Records
20,20,good 4 u,Olivia Rodrigo,3786277,Universal Music Group
21,21,Cold Heart - PNAU Remix,Elton John,3749917,Universal Music Group
22,22,Lost,Frank Ocean,3666667,Universal Music Group
23,23,Kiss Me More (feat. SZA),Doja Cat,3652938,Sony Music Entertainment
24,24,What Else Can I Do?,Diane Guerrero,3635633,Walt Disney Records
25,25,Dark Red,Steve Lacy,3632672,Small Label/Independent
26,26,I Hate U,SZA,3627858,Sony Music Entertainment
27,27,Is There Someone Else?,The Weeknd,3619148,Universal Music Group
28,28,Broadway Girls (feat. Morgan Wallen),Lil Durk,3430832,Sony Music Entertainment
29,29,Woman,Doja Cat,3415821,Sony Music Entertainment
30,30,Shivers,Ed Sheeran,3327135,Warner Music Group
31,31,family ties (with Kendrick Lamar),Baby Keem,3294937,Sony Music Entertainment
32,32,Sweater Weather,The Neighbourhood,3230826,Sony Music Entertainment
33,33,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3213774,Universal Music Group
34,34,Meet Me At Our Spot,THE ANXIETY,3021982,Roc Nation
35,35,Gasoline,The Weeknd,2979214,Universal Music Group
36,36,Smokin Out The Window,Bruno Mars,2908181,Warner Music Group
37,37,Sky,Playboi Carti,2890412,Universal Music Group
38,38,One Right Now (with The Weeknd),Post Malone,2855638,Universal Music Group
39,39,Waiting On A Miracle,Stephanie Beatriz,2855311,Walt Disney Records
40,40,Dos Oruguitas,Sebastian Yatra,2806404,Walt Disney Records
41,41,thought i was playing,Gunna,2775514,Warner Music Group
42,42,Ghost,Justin Bieber,2755586,Universal Music Group
43,43,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2747046,Universal Music Group
44,44,Way 2 Sexy (with Future & Young Thug),Drake,2723212,Universal Music Group
45,45,Happier Than Ever,Billie Eilish,2709031,Universal Music Group
46,46,Less Than Zero,The Weeknd,2667741,Universal Music Group
47,47,RAPSTAR,Polo G,2662458,Sony Music Entertainment
48,48,Softcore,The Neighbourhood,2626683,Sony Music Entertainment
49,49,By Your Side,Rod Wave,2590380,Sony Music Entertainment
50,50,How Do I Make You Love Me?,The Weeknd,2569704,Universal Music Group
51,51,traitor,Olivia Rodrigo,2562482,Universal Music Group
52,52,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2556384,Sony Music Entertainment
53,53,Bad Habits,Ed Sheeran,2546917,Warner Music Group
54,54,Oh My God,Adele,2512936,Sony Music Entertainment
55,55,Levitating (feat. DaBaby),Dua Lipa,2511429,Warner Music Group
56,56,MONTERO (Call Me By Your Name),Lil Nas X,2491614,Sony Music Entertainment
57,57,No Role Modelz,J. Cole,2485635,Roc Nation
58,58,You Right,Doja Cat,2449904,Sony Music Entertainment
59,59,Pepas,Farruko,2413089,Sony Music Entertainment
60,60,2055,Sleepy Hallow,2411028,Sony Music Entertainment
61,61,Freaks,Surf Curse,2387329,Warner Music Group
62,62,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2381736,Universal Music Group
63,63,Surround Sound (feat. 21 Savage & Baby Tate),JID,2381553,Universal Music Group
64,64,Take My Breath,The Weeknd,2379377,Universal Music Group
65,65,Infinity,Jaymes Young,2355627,Warner Music Group
66,66,20 Min,Lil Uzi Vert,2324610,Warner Music Group
67,67,"Here We Go… Again (feat. Tyler, the Creator)",The Weeknd,2318905,Universal Music Group
68,68,505,Arctic Monkeys,2314477,Warner Music Group
69,69,Blinding Lights,The Weeknd,2278352,Universal Music Group
70,70,Space Song,Beach House,2269997,Warner Music Group
71,71,Wants and Needs (feat. Lil Baby),Drake,2252858,Small Label/Independent
72,72,THATS WHAT I WANT,Lil Nas X,2242872,Sony Music Entertainment
73,73,YKWIM?,Yot Club,2236710,Small Label/Independent
74,74,Get Into It (Yuh),Doja Cat,2213649,Sony Music Entertainment
75,75,drivers license,Olivia Rodrigo,2201620,Universal Music Group
76,76,Do It To It,ACRAZE,2190757,Small Label/Independent
77,77,Best Friends,The Weeknd,2179507,Universal Music Group
78,78,Lucid Dreams,Juice WRLD,2171445,Universal Music Group
79,79,I AM WOMAN,Emmy Meli,2168239,Sony Music Entertainment
80,80,deja vu,Olivia Rodrigo,2156997,Universal Music Group
81,81,Good Days,SZA,2139317,Sony Music Entertainment
82,82,All Girls Are The Same,Juice WRLD,2120590,Universal Music Group
83,83,love nwantiti (ah ah ah),CKay,2117014,Small Label/Independent
84,84,Alien Blues,Vundabar,2112806,Small Label/Independent
85,85,All Of You,Stephanie Beatriz,2101065,Walt Disney Records
86,86,Daddy Issues,The Neighbourhood,2097791,Sony Music Entertainment
87,87,Jugaste y Sufrí,Eslabon Armado,2082773,Small Label/Independent
88,88,Mr. Rager,Kid Cudi,2075970,Universal Music Group
89,89,Hrs and Hrs,Muni Long,2071276,Small Label/Independent
90,90,The Spins,Mac Miller,2062582,Small Label/Independent
91,91,See You Again (feat. Kali Uchis),"Tyler, The Creator",2025386,Sony Music Entertainment
92,92,Toxic,BoyWithUke,2021998,Universal Music Group
93,93,Pursuit Of Happiness (Nightmare),Kid Cudi,2015587,Universal Music Group
94,94,Martin & Gina,Polo G,2003904,Sony Music Entertainment
95,95,Tell Em,Cochise,1990833,Sony Music Entertainment
96,96,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1971118,Universal Music Group
97,97,Love & War,Kodak Black,1957223,Warner Music Group
98,98,Die For You,The Weeknd,1941734,Universal Music Group
99,99,Already Dead,Juice WRLD,1938801,Universal Music Group
100,100,Bad Man (Smooth Criminal),Polo G,1938501,Sony Music Entertainment
101,101,Praise God,Kanye West,1917954,Universal Music Group
102,102,Miss The Rage (feat. Playboi Carti),Trippie Redd,1915577,Small Label/Independent
103,103,Big Energy,Latto,1905862,Sony Music Entertainment
104,104,Fair Trade (with Travis Scott),Drake,1896845,Universal Music Group
105,105,SLOW DANCING IN THE DARK,Joji,1896038,Warner Music Group
106,106,Beggin',Måneskin,1891285,Sony Music Entertainment
107,107,NEW MAGIC WAND,"Tyler, The Creator",1885898,Sony Music Entertainment
108,108,Buy Dirt,Jordan Davis,1883233,Universal Music Group
109,109,My Universe,Coldplay,1859155,Warner Music Group
110,110,Money Trees,Kendrick Lamar,1857063,Universal Music Group
111,111,Streets,Doja Cat,1851584,Sony Music Entertainment
112,112,Fancy Like,Walker Hayes,1851274,Sony Music Entertainment
113,113,Mr. Brightside,The Killers,1851107,Universal Music Group
114,114,Work Out,J. Cole,1834847,Roc Nation
115,115,Notion,The Rare Occasions,1834052,Warner Music Group
116,116,25k jacket (feat. Lil Baby),Gunna,1807073,Warner Music Group
117,117,Ain't Shit,Doja Cat,1799163,Sony Music Entertainment
118,118,Shoota (feat. Lil Uzi Vert),Playboi Carti,1792861,Universal Music Group
119,119,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1788273,Universal Music Group
120,120,Yonaguni,Bad Bunny,1777987,Small Label/Independent
121,121,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1777393,Small Label/Independent
122,122,Looking Out for You,Joy Again,1772659,Sony Music Entertainment
123,123,Man in the Mirror,A Boogie Wit da Hoodie,1772422,Warner Music Group
124,124,No Love (with SZA),Summer Walker,1762777,Universal Music Group
125,125,WHERE WE ARE,The Lumineers,1752075,Universal Music Group
126,126,Starry Eyes,The Weeknd,1748795,Universal Music Group
127,127,Save Your Tears,The Weeknd,1744963,Universal Music Group
128,128,Burn,Juice WRLD,1738741,Universal Music Group
129,129,Circles,Post Malone,1736959,Universal Music Group
130,130,Leave The Door Open,Bruno Mars,1735129,Warner Music Group
131,131,Star Shopping,Lil Peep,1734431,Small Label/Independent
132,132,we fell in love in october,girl in red,1726580,Sony Music Entertainment
133,133,XO Tour Llif3,Lil Uzi Vert,1723029,Warner Music Group
134,134,Jocelyn Flores,XXXTENTACION,1719945,Small Label/Independent
135,135,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1717288,Sony Music Entertainment
136,136,I Heard You’re Married (feat. Lil Wayne),The Weeknd,1713552,Universal Music Group
137,137,Dandelions,Ruth B.,1711254,Sony Music Entertainment
138,138,For Tonight,Giveon,1706576,Sony Music Entertainment
139,139,telepatía,Kali Uchis,1704422,Universal Music Group
140,140,Redbone,Childish Gambino,1702231,Small Label/Independent
141,141,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1698044,Universal Music Group
142,142,Heather,Conan Gray,1694608,Universal Music Group
143,143,Come & Go (with Marshmello),Juice WRLD,1685094,Universal Music Group
144,144,Heartbreak Anniversary,Giveon,1674999,Sony Music Entertainment
145,145,Life Goes On,Oliver Tree,1670085,Warner Music Group
146,146,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1666103,Sony Music Entertainment
147,147,Robbery,Juice WRLD,1662163,Universal Music Group
148,148,mop (feat. Young Thug),Gunna,1657798,Warner Music Group
149,149,Washing Machine Heart,Mitski,1654266,Small Label/Independent
150,150,favorite crime,Olivia Rodrigo,1653607,Universal Music Group
151,151,It'll Be Okay,Shawn Mendes,1650318,Universal Music Group
152,152,Flower Shops (feat. Morgan Wallen),ERNEST,1646286,Small Label/Independent
153,153,Whiskey Glasses,Morgan Wallen,1644455,Small Label/Independent
154,154,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,1641164,Warner Music Group
155,155,Today (feat. Gunna),Cordae,1640057,Warner Music Group
156,156,Electric Love,BØRNS,1639360,Universal Music Group
157,157,my ex's best friend (with blackbear),Machine Gun Kelly,1638899,Universal Music Group
158,158,The Hills,The Weeknd,1638299,Universal Music Group
159,159,Wasted On You,Morgan Wallen,1637649,Universal Music Group
160,160,Wishing Well,Juice WRLD,1637387,Universal Music Group
161,161,DÁKITI,Bad Bunny,1629657,Small Label/Independent
162,162,Dreams - 2004 Remaster,Fleetwood Mac,1627043,Warner Music Group
163,163,Heartless,Kanye West,1625839,Universal Music Group
164,164,goosebumps,Travis Scott,1612554,Sony Music Entertainment
165,165,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1610144,Small Label/Independent
166,166,"Colombia, Mi Encanto",Carlos Vives,1609000,Walt Disney Records
167,167,She Knows (feat. Amber Coffman & Cults),J. Cole,1608258,Roc Nation
168,168,LOVE. FEAT. ZACARI.,Kendrick Lamar,1607194,Universal Music Group
169,169,Yes Indeed,Lil Baby,1602808,Universal Music Group
170,170,too easy,Gunna,1590841,Warner Music Group
171,171,Mood (feat. iann dior),24kGoldn,1587802,Sony Music Entertainment
172,172,Moth To A Flame (with The Weeknd),Swedish House Mafia,1586342,Universal Music Group
173,173,Not Allowed,TV Girl,1585288,Small Label/Independent
174,174,Love Sosa,Chief Keef,1573919,Universal Music Group
175,175,BRIGHTSIDE,The Lumineers,1559593,Universal Music Group
176,176,poochie gown,Gunna,1557274,Warner Music Group
177,177,Sand In My Boots,Morgan Wallen,1554952,Universal Music Group
178,178,1 Scale (feat. G Herbo),Young Dolph,1549507,Small Label/Independent
179,179,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1547326,Small Label/Independent
180,180,Fuck Love (feat. Trippie Redd),XXXTENTACION,1542768,Small Label/Independent
181,181,Watermelon Sugar,Harry Styles,1536879,Sony Music Entertainment
182,182,Don’t Break My Heart,The Weeknd,1535361,Universal Music Group
183,183,LOT OF ME,Lil Tecca,1533397,Universal Music Group
184,184,Everybody Talks,Neon Trees,1531624,Universal Music Group
185,185,how you did that (feat. Kodak Black),Gunna,1528837,Warner Music Group
186,186,Girls Want Girls (with Lil Baby),Drake,1526021,Universal Music Group
187,187,Jumpin (feat. Polo G),NLE Choppa,1524992,Warner Music Group
188,188,The Motto,Tiësto,1524340,Warner Music Group
189,189,Bound 2,Kanye West,1521084,Universal Music Group
190,190,you broke me first,Tate McRae,1515175,Sony Music Entertainment
191,191,Get You (feat. Kali Uchis),Daniel Caesar,1514954,Small Label/Independent
192,192,Flashing Lights,Kanye West,1507447,Universal Music Group
193,193,Talking to the Moon,Bruno Mars,1503418,Warner Music Group
194,194,No Idea,Don Toliver,1501826,Warner Music Group
195,195,Cigarette Daydreams,Cage The Elephant,1500056,Sony Music Entertainment
196,196,Bring The Hook,YoungBoy Never Broke Again,1498618,Warner Music Group
197,197,The Less I Know The Better,Tame Impala,1491343,Universal Music Group
198,198,MIDDLE CHILD,J. Cole,1488056,Roc Nation
199,199,Smells Like Teen Spirit - Remastered,Nirvana,1486487,Universal Music Group
200,200,Classic,MKTO,1483922,Sony Music Entertainment
